Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Demand_MW_z8,Demand_MW_z9
2000000,1,1,1,2000,1,70,70,1,0,0,0,0,133.68,0,190.9,0,182.3
,2,0.9,0.04,1800,,,,2,0,0,0,0,131.76,0,188.15,0,179.7
,3,0.55,0.024,1100,,,,3,0,0,0,0,132.2,0,188.8,0,180.3
,4,0.2,0.003,400,,,,4,0,0,0,0,127.43,0,181.95,0,173.7
,,,,,,,,5,0,0,0,0,117.46,0,167.75,0,160.1
,,,,,,,,6,0,0,0,0,107.12,0,152.95,0,146
,,,,,,,,7,0,0,0,0,99.66,0,142.3,0,135.8
,,,,,,,,8,0,0,0,0,94.88,0,135.5,0,129.3
,,,,,,,,9,0,0,0,0,91.82,0,131.1,0,125.2
,,,,,,,,10,0,0,0,0,90.21,0,128.8,0,123
,,,,,,,,11,0,0,0,0,90.83,0,129.7,0,123.8
,,,,,,,,12,0,0,0,0,94.97,0,135.6,0,129.5
,,,,,,,,13,0,0,0,0,104.91,0,149.8,0,143
,,,,,,,,14,0,0,0,0,118.08,0,168.6,0,161
,,,,,,,,15,0,0,0,0,128.31,0,183.25,0,174.9
,,,,,,,,16,0,0,0,0,136.53,0,194.95,0,186.2
,,,,,,,,17,0,0,0,0,143.76,0,205.3,0,196
,,,,,,,,18,0,0,0,0,149.58,0,213.6,0,204
,,,,,,,,19,0,0,0,0,154.07,0,220,0,210
,,,,,,,,20,0,0,0,0,157.93,0,225.55,0,215.3
,,,,,,,,21,0,0,0,0,158.75,0,226.7,0,216.5
,,,,,,,,22,0,0,0,0,159.07,0,227.15,0,216.9
,,,,,,,,23,0,0,0,0,158.77,0,226.7,0,216.5
,,,,,,,,24,0,0,0,0,157.59,0,225.05,0,214.9
,,,,,,,,25,0,0,0,0,153.92,0,219.8,0,209.9
,,,,,,,,26,0,0,0,0,149.09,0,212.9,0,203.3
,,,,,,,,27,0,0,0,0,147.2,0,210.2,0,200.7
,,,,,,,,28,0,0,0,0,141.35,0,201.85,0,192.7
,,,,,,,,29,0,0,0,0,127.85,0,182.55,0,174.3
,,,,,,,,30,0,0,0,0,114.49,0,163.5,0,156.1
,,,,,,,,31,0,0,0,0,105.03,0,150,0,143.2
,,,,,,,,32,0,0,0,0,98.89,0,141.25,0,134.8
,,,,,,,,33,0,0,0,0,94.93,0,135.55,0,129.4
,,,,,,,,34,0,0,0,0,92.45,0,132,0,126.1
,,,,,,,,35,0,0,0,0,92.68,0,132.35,0,126.3
,,,,,,,,36,0,0,0,0,96.43,0,137.7,0,131.5
,,,,,,,,37,0,0,0,0,106.84,0,152.55,0,145.7
,,,,,,,,38,0,0,0,0,120.36,0,171.85,0,164.1
,,,,,,,,39,0,0,0,0,131.2,0,187.35,0,178.9
,,,,,,,,40,0,0,0,0,140.8,0,201.05,0,191.9
,,,,,,,,41,0,0,0,0,149.1,0,212.9,0,203.3
,,,,,,,,42,0,0,0,0,154.78,0,221.05,0,211
,,,,,,,,43,0,0,0,0,158.7,0,226.65,0,216.4
,,,,,,,,44,0,0,0,0,162.25,0,231.65,0,221.2
,,,,,,,,45,0,0,0,0,164.48,0,234.9,0,224.2
,,,,,,,,46,0,0,0,0,166.17,0,237.3,0,226.6
,,,,,,,,47,0,0,0,0,167.17,0,238.7,0,227.9
,,,,,,,,48,0,0,0,0,165.79,0,236.75,0,226.1
,,,,,,,,49,0,0,0,0,161.99,0,231.3,0,220.9
,,,,,,,,50,0,0,0,0,157.01,0,224.2,0,214
,,,,,,,,51,0,0,0,0,154.16,0,220.15,0,210.2
,,,,,,,,52,0,0,0,0,148.54,0,212.15,0,202.5
,,,,,,,,53,0,0,0,0,135.81,0,193.9,0,185.2
,,,,,,,,54,0,0,0,0,123.17,0,175.9,0,167.9
,,,,,,,,55,0,0,0,0,114.28,0,163.2,0,155.8
,,,,,,,,56,0,0,0,0,108.76,0,155.3,0,148.3
,,,,,,,,57,0,0,0,0,105.27,0,150.3,0,143.5
,,,,,,,,58,0,0,0,0,103.16,0,147.3,0,140.7
,,,,,,,,59,0,0,0,0,103.05,0,147.15,0,140.5
,,,,,,,,60,0,0,0,0,106.66,0,152.3,0,145.4
,,,,,,,,61,0,0,0,0,116.1,0,165.8,0,158.3
,,,,,,,,62,0,0,0,0,129.98,0,185.6,0,177.2
,,,,,,,,63,0,0,0,0,139.72,0,199.5,0,190.5
,,,,,,,,64,0,0,0,0,147.56,0,210.7,0,201.2
,,,,,,,,65,0,0,0,0,155.64,0,222.25,0,212.2
,,,,,,,,66,0,0,0,0,161.8,0,231.05,0,220.6
,,,,,,,,67,0,0,0,0,165.67,0,236.6,0,225.9
,,,,,,,,68,0,0,0,0,165.79,0,236.75,0,226.1
,,,,,,,,69,0,0,0,0,161.91,0,231.2,0,220.7
,,,,,,,,70,0,0,0,0,154.34,0,220.4,0,210.5
