Line_1,Line_2,MGAIteration
-4.9093571735029265e7,1.1665584687501239e7,0
-4.4509740601077184e7,1.1673193165291023e7,1
-3.4596522675817415e7,1.1673369764723858e7,2
-4.666019031827588e7,6.679394528433435e6,3
-5.167198211421922e7,1.1503743224897636e7,4
2.4364509868964605e7,5.157561403902313e6,5
-4.87526855560167e7,-1.3877145931523235e6,6
-2.573892149376293e7,1.166537242364867e7,7
9.102223837637525e6,1.167370092639961e7,8
-5.1615335885763295e7,1.18274973909805e7,9
2.436712030691266e7,1.1666022797615701e7,10
