MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery,Line_1,Line_2,FixedCost,OpCost,TotalCost,Zone1_TotalCost,Zone2_TotalCost,Zone3_TotalCost,TotalEmissions,Zone1_TotalEmissions,Zone2_TotalEmissions,Zone3_TotalEmissions,MGAIteration
13681.668816002359,9466.302219148049,278.8558470000274,500.0,0.0,0.0,0.0,0.0,0.0,0.0,2950.0,0.0,1.8141618447276304e9,2.066351285686153e9,3.880513130413783e9,1.8908631828990164e9,1.9277659154440904e9,2.630703207067915e7,4.315149145257661e7,1.6064957045188474e7,2.7081234877434697e7,5299.529953435946,0
6474.869728121676,10693.772404759628,5128.187025303854,500.0,0.0,0.0,0.0,1.4119018143953861e-12,0.23853875756586218,7957.819825205004,2950.0,2000.0,2.214104191101692e9,2.067667308592264e9,4.2817714996939564e9,1.2945247953182704e9,2.0677607549231722e9,8.45386949452513e8,4.329637719718847e7,1.4975189661469618e7,2.8157028819867864e7,164158.7158509781,1
16798.019565711373,1577.2514751866497,3993.262737539595,500.0,0.0,0.0,0.0,0.0,5604.501966338752,0.0,0.0,0.0,2.0202025453654976e9,2.25860392843328e9,4.2788064737987776e9,3.299102497891121e9,6.48639068555698e8,3.310649073519648e8,4.394947384369209e7,3.862997383381265e7,5.219781066118113e6,99718.94376132643,2
12737.145953921605,15461.573899173636,0.0,500.0,0.0,0.0,0.0,61.56886560612615,0.0,41.8095957009787,2950.0,2000.0,2.214085832667054e9,2.0655807382237825e9,4.2796665708908367e9,1.8187130932013323e9,2.3803100993468766e9,6.54437834262616e6,4.3149827986701705e7,1.60075518602808e7,2.7142276126420904e7,0.0,3
5091.330594553507,10532.255187537261,6241.648228324782,2318.561939490162,0.0,0.0,0.0,5926.306150910186,0.0,100.67515122610048,2950.0,2000.0,2.2758929612129292e9,2.0116715777510695e9,4.287564538963999e9,1.6170205789626408e9,2.0553957057176607e9,5.410492542837017e8,4.213582968330727e7,1.3489910872362591e7,2.8137945704425205e7,507973.1065194749,4
22680.563172136197,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,3097.150836421827,2950.0,2000.0,1.9629974330510783e9,2.3259546819116807e9,4.288952114962759e9,4.034512380084975e9,8.123522919483088e6,1.7221721195830208e8,4.420274237583372e7,4.420274237583372e7,0.0,0.0,5
5406.274352528761,10301.02872066202,6393.362971362997,5686.240704441624,0.0,0.0,0.0,146.82182066225076,8.994422409917089,4.3634154142510955,2950.0,2000.0,2.3400991635210843e9,1.942107359863764e9,4.2822065233848486e9,1.6482164128754425e9,1.9974201467794943e9,5.624709637299131e8,3.976165039306297e7,1.1994886695806121e7,2.699687561970669e7,769888.0775501609,6
22543.006780078525,0.0,0.0,500.0,0.0,0.0,1234.0468675784457,8.828139179813342e-11,2870.2452558565033,1.4875876449505485e-10,2950.0,0.0,2.0753964538379405e9,2.2053063267185726e9,4.280702780556513e9,3.919142710495552e9,1.5096345169002077e8,1.750196183709409e8,4.224855567432868e7,4.224855567432868e7,0.0,0.0,7
17695.625015847196,0.0,4126.299898626113,500.0,1573.4378253263342,0.0,0.0,0.0,2066.6861897461717,0.0,2950.0,0.0,2.0509832336077366e9,2.2355219828773885e9,4.286505216485125e9,3.573649846267399e9,3.346224230902154e8,3.4265594712750983e8,4.274123471033966e7,4.262791967234621e7,0.0,113315.03799344723,8
21246.782119271615,1034.0697338898697,142.3641717940528,500.0,0.0,1241.2729957990632,0.0,0.0,3538.7161053637665,570.5157232114642,0.0,0.0,2.0520635546617656e9,2.2311037601241245e9,4.28316731478589e9,3.6874042247564416e9,5.475775693587174e8,4.81855206707418e7,4.308047380699135e7,3.965716298861699e7,3.4203831080194577e6,2927.7103548999808,9
25601.96568452716,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,1770.4065794117225,277.5047700529206,1.9738120994885025e9,2.3128098880396366e9,4.286621987528139e9,4.252919658746583e9,6.130451146409103e6,875754.9114528713,4.4202406707002185e7,4.4202406707002185e7,0.0,0.0,10
