Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2
2000,1,1,1,2000,1,24,8760,1,433055,56250
,2,0.9,0.04,1800,,,,2,406808,53975
,3,0.55,0.024,1100,,,,3,394480,51413
,4,0.2,0.003,400,,,,4,389845,50217
,,,,,,,,5,387098,49407
,,,,,,,,6,392355,48847
,,,,,,,,7,404654,49928
,,,,,,,,8,416313,52099
,,,,,,,,9,428156,53971
,,,,,,,,10,443175,56180
,,,,,,,,11,461485,59324
,,,,,,,,12,478750,61430
,,,,,,,,13,500639,63720
,,,,,,,,14,510242,66292
,,,,,,,,15,512939,66236
,,,,,,,,16,520359,66270
,,,,,,,,17,542617,66603
,,,,,,,,18,567183,68052
,,,,,,,,19,589765,70029
,,,,,,,,20,597606,78675
,,,,,,,,21,578601,79796
,,,,,,,,22,551207,77624
,,,,,,,,23,519544,74795
,,,,,,,,24,480627,70153
