Resource,Zone,Model,New_Build,Can_Retire,Existing_Cap_MW,Max_Cap_MW,Min_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,Heat_Rate_MMBTU_per_MWh,Fuel,Cap_Size,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Up_Time,Down_Time,Ramp_Up_Percentage,Ramp_Dn_Percentage,Min_Power,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,PWFU_Fuel_Usage_Zero_Load_MMBTU_per_h,PWFU_Heat_Rate_MMBTU_per_MWh_1,PWFU_Heat_Rate_MMBTU_per_MWh_2,PWFU_Heat_Rate_MMBTU_per_MWh_3,PWFU_Load_Point_MW_1,PWFU_Load_Point_MW_2,PWFU_Load_Point_MW_3,region,cluster
301_CT_1,49,1,1,0,20,-1,0,65400,219000,6.94,14593,Oil,250,91,5,1,1,9,9,8,0.25,0.5,0,0,400,8431,9633,10181,0.6,0.8,1,CA,3
301_CT_2,49,1,1,0,20,-1,0,65400,219000,6.94,14593,Oil,250,91,5,1,1,9,9,8,0.13333272,0.26666544,0,0,400,8431,9633,10181,0.6,0.8,1,CA,3
301_CT_3,49,1,1,0,55,-1,0,65400,332880,2.08,13090,NG,250,91,1122.5,2.2,2.2,4.036363636,4.036363636,22,0.03333333,0.06666667,0,0,400,7324,7534,11253,0.6,0.8,1,CA,3
301_CT_4,49,1,1,0,55,-1,0,65400,332880,2.08,13090,NG,250,91,1122.5,2.2,2.2,4.036363636,4.036363636,22,0.03333333,0.06666667,0,0,400,7324,7534,11253,0.6,0.8,1,CA,3
302_CT_1,50,1,1,0,20,-1,0,65400,219000,6.94,14593,Oil,250,91,5,1,1,9,9,8,0.03333333,0.06666667,0,0,400,8431,9633,10181,0.6,0.8,1,CA,3
302_CT_2,50,1,1,0,20,-1,0,65400,219000,6.94,14593,Oil,250,91,5,1,1,9,9,8,0.03333333,0.06666667,0,0,400,8431,9633,10181,0.6,0.8,1,CA,3
302_CT_3,50,1,1,0,55,-1,0,65400,332880,2.08,15395,NG,250,91,1122.5,2.2,2.2,4.036363636,4.036363636,22,0.03333333,0.06666667,0,0,400,8693,9874,9939,0.6,0.8,1,CA,3
302_CT_4,50,1,1,0,55,-1,0,65400,332880,2.08,15395,NG,250,91,1122.5,2.2,2.2,4.036363636,4.036363636,22,0.03333333,0.06666667,0,0,400,8693,9874,9939,0.6,0.8,1,CA,3
307_CT_1,55,1,1,0,55,-1,0,65400,332880,2.08,13353,NG,250,91,1122.5,2.2,2.2,4.036363636,4.036363636,22,0.03333333,0.06666667,0,0,400,7176,7517,9126,0.6,0.8,1,CA,3
307_CT_2,55,1,1,0,55,-1,0,65400,332880,2.08,13353,NG,250,91,1122.5,2.2,2.2,4.036363636,4.036363636,22,0.03333333,0.06666667,0,0,400,7176,7517,9126,0.6,0.8,1,CA,3
