Resource,Zone,Num_VRE_Bins,New_Build,Can_Retire,Existing_Cap_MW,Max_Cap_MW,Min_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,region,cluster
313_PV_1,61,1,1,0,95.1,-1,0,85300,145757.64,0,0,0,0,0,CA,3
313_PV_2,61,1,1,0,93.3,-1,0,97200,145757.64,0,0,0,0,0,CA,3
313_RTPV_1,61,1,1,0,101.7,-1,0,85300,145757.64,0,0,0,0,0,CA,3
313_RTPV_2,61,1,1,0,63.1,-1,0,97200,145757.64,0,0,0,0,0,CA,3
313_RTPV_3,61,1,1,0,65.4,-1,0,97200,145757.64,0,0,0,0,0,CA,3
313_RTPV_4,61,1,1,0,67,-1,0,99580,145757.64,0,0,0,0,0,CA,3
313_RTPV_5,61,1,1,0,64.8,-1,0,101960,145757.64,0,0,0,0,0,CA,3
313_RTPV_6,61,1,1,0,63.8,-1,0,104340,145757.64,0,0,0,0,0,CA,3
313_RTPV_7,61,1,1,0,64.1,-1,0,106720,145757.64,0,0,0,0,0,CA,3
313_RTPV_8,61,1,1,0,66.6,-1,0,109100,145757.64,0,0,0,0,0,CA,3
313_RTPV_9,61,1,1,0,62.4,-1,0,111480,145757.64,0,0,0,0,0,CA,3
313_RTPV_10,61,1,1,0,66.9,-1,0,113860,145757.64,0,0,0,0,0,CA,3
313_RTPV_11,61,1,1,0,65.2,-1,0,116240,145757.64,0,0,0,0,0,CA,3
313_RTPV_12,61,1,1,0,27.8,-1,0,118620,145757.64,0,0,0,0,0,CA,3
313_RTPV_13,61,1,1,0,27.2,-1,0,121000,145757.64,0,0,0,0,0,CA,3
320_PV_1,68,1,1,0,51.6,-1,0,123380,145757.64,0,0,0,0,0,CA,3
320_RTPV_1,68,1,1,0,27.3,-1,0,125760,145757.64,0,0,0,0,0,CA,3
320_RTPV_2,68,1,1,0,27,-1,0,128140,145757.64,0,0,0,0,0,CA,3
320_RTPV_3,68,1,1,0,28.3,-1,0,130520,145757.64,0,0,0,0,0,CA,3
320_RTPV_4,68,1,1,0,27,-1,0,132900,145757.64,0,0,0,0,0,CA,3
320_RTPV_5,68,1,1,0,28.2,-1,0,135280,145757.64,0,0,0,0,0,CA,3
320_RTPV_6,68,1,1,0,9.4,-1,0,135280,145757.64,0,0,0,0,0,CA,3
314_PV_1,62,1,1,0,51.6,-1,0,135280,145757.64,0,0,0,0,0,CA,3
314_PV_2,62,1,1,0,51.6,-1,0,135280,145757.64,0,0,0,0,0,CA,3
314_PV_3,62,1,1,0,92.7,-1,0,135280,145757.64,0,0,0,0,0,CA,3
314_PV_4,62,1,1,0,51.6,-1,0,135280,145757.64,0,0,0,0,0,CA,3
310_PV_1,58,1,1,0,51.7,-1,0,135280,145757.64,0,0,0,0,0,CA,3
310_PV_2,58,1,1,0,51.6,-1,0,135280,145757.64,0,0,0,0,0,CA,3
324_PV_1,72,1,1,0,49.7,-1,0,135280,145757.64,0,0,0,0,0,CA,3
324_PV_2,72,1,1,0,51.6,-1,0,135280,145757.64,0,0,0,0,0,CA,3
324_PV_3,72,1,1,0,51,-1,0,135280,145757.64,0,0,0,0,0,CA,3
312_PV_1,60,1,1,0,94.1,-1,0,135280,145757.64,0,0,0,0,0,CA,3
319_PV_1,67,1,1,0,188.2,-1,0,135280,145757.64,0,0,0,0,0,CA,3
308_RTPV_1,56,1,1,0,100.9,-1,0,135280,145757.64,0,0,0,0,0,CA,3
309_WIND_1,57,1,1,0,148.3,-1,0,135280,230510.64,0,0,0,0,0,CA,3
317_WIND_1,65,1,1,0,799.1,-1,0,135280,230510.64,0,0,0,0,0,CA,3
303_WIND_1,51,1,1,0,847,-1,0,135280,230510.64,0,0,0,0,0,CA,3
101_PV_1,1,1,1,0,25.9,-1,0,85300,145757.64,0,0,0,0,0,UT,1
101_PV_2,1,1,1,0,26.7,-1,0,97200,145757.64,0,0,0,0,0,UT,1
101_PV_3,1,1,1,0,26.2,-1,0,85300,145757.64,0,0,0,0,0,UT,1
101_PV_4,1,1,1,0,25.8,-1,0,97200,145757.64,0,0,0,0,0,UT,1
102_PV_1,2,1,1,0,25.6,-1,0,97200,145757.64,0,0,0,0,0,UT,1
102_PV_2,2,1,1,0,25.3,-1,0,99580,145757.64,0,0,0,0,0,UT,1
113_PV_1,13,1,1,0,93.6,-1,0,101960,145757.64,0,0,0,0,0,UT,1
118_RTPV_1,18,1,1,0,9.3,-1,0,104340,145757.64,0,0,0,0,0,UT,1
118_RTPV_2,18,1,1,0,9.7,-1,0,106720,145757.64,0,0,0,0,0,UT,1
118_RTPV_3,18,1,1,0,9.4,-1,0,109100,145757.64,0,0,0,0,0,UT,1
118_RTPV_4,18,1,1,0,9.1,-1,0,111480,145757.64,0,0,0,0,0,UT,1
118_RTPV_5,18,1,1,0,9.1,-1,0,113860,145757.64,0,0,0,0,0,UT,1
118_RTPV_6,18,1,1,0,9.7,-1,0,116240,145757.64,0,0,0,0,0,UT,1
118_RTPV_7,18,1,1,0,11.8,-1,0,118620,145757.64,0,0,0,0,0,UT,1
118_RTPV_8,18,1,1,0,11.2,-1,0,121000,145757.64,0,0,0,0,0,UT,1
118_RTPV_9,18,1,1,0,10.3,-1,0,123380,145757.64,0,0,0,0,0,UT,1
