,Network_zones,Network_Lines,Start_Zone,End_Zone,pMax_quantized_MW,transmission_path_name,distance_mile,Line_Loss_Percentage,Line_Max_Reinforcement_MW,Line_Reinforcement_Cost_per_MWyr,DerateCapRes_1,CapRes_Excl_1,Angle_Limit_Rad,Line_Voltage_kV,Line_Resistance_Ohms,Line_Reactance_Ohms
BUS1,z1,1,1,2,25,BUS1_to_BUS4,0.5,0.0015,500,12000,0.95,0,0.785398,345,0,685.584
BUS2,z2,2,1,3,25,BUS4_to_BUS5,0.5,0.0015,500,12000,0.95,0,0.785398,345,202.3425,1095.03
BUS3,z3,3,1,5,15,BUS5_to_BUS6,0.5,0.0015,500,12000,0.95,0,0.785398,345,464.1975,2023.425
BUS4,z4,4,2,4,30,BUS3_to_BUS6,0.5,0.0015,500,12000,0.95,0,0.785398,345,0,697.4865
BUS5,z5,5,2,6,15,BUS6_to_BUS7,0.5,0.0015,500,12000,0.95,0,0.785398,345,141.63975,1199.772
BUS6,z6,6,3,9,25,BUS7_to_BUS8,0.5,0.0015,500,12000,0.95,0,0.785398,345,101.17125,856.98
BUS7,z7,7,3,24,25,BUS8_to_BUS2,0.5,0.0015,500,12000,0.95,0,0.785398,345,0,743.90625
BUS8,z8,8,4,9,25,BUS8_to_BUS9,0.5,0.0015,500,12000,0.95,0,0.785398,345,380.88,1916.3025
BUS9,z9,9,5,10,25,BUS9_to_BUS4,0.5,0.0015,500,12000,0.95,0,0.785398,345,119.025,1011.7125
BUS10,z10,10,6,10,25,BUS10_to_BUS1,0.5,0.0015,500,12000,0.95,0,0.785398,345,119.025,1011.7125
BUS11,z11,11,7,8,25,BUS11_to_BUS1,0.5,0.0015,500,12000,0.95,0,0.785398,345,119.025,1011.7125
BUS12,z12,12,8,9,25,BUS12_to_BUS1,0.5,0.0015,500,12000,0.95,0,0.785398,345,119.025,1011.7125
BUS13,z13,13,8,10,25,BUS13_to_BUS4,0.5,0.0015,500,12000,0.95,0,0.785398,345,119.025,1011.7125
BUS14,z14,14,9,11,25,BUS13_to_BUS5,0.5,0.0015,500,12000,0.95,0,0.785398,345,126.1207212,1064.358173
BUS15,z15,15,9,12,25,BUS13_to_BUS6,0.5,0.0015,500,12000,0.95,0,0.785398,345,123.4197692,1059.518695
BUS16,z16,16,10,11,25,BUS13_to_BUS7,0.5,0.0015,500,12000,0.95,0,0.785398,345,120.7188173,1054.679217
BUS17,z17,17,10,12,25,BUS13_to_BUS8,0.5,0.0015,500,12000,0.95,0,0.785398,345,118.0178654,1049.839739
BUS18,z18,18,11,13,25,BUS13_to_BUS9,0.5,0.0015,500,12000,0.95,0,0.785398,345,115.3169135,1045.000261
BUS19,z19,19,11,14,25,BUS13_to_BUS10,0.5,0.0015,500,12000,0.95,0,0.785398,345,112.6159615,1040.160783
BUS20,z20,20,12,13,25,BUS13_to_BUS11,0.5,0.0015,500,12000,0.95,0,0.785398,345,109.9150096,1035.321305
BUS21,z21,21,12,23,25,BUS13_to_BUS12,0.5,0.0015,500,12000,0.95,0,0.785398,345,107.2140577,1030.481827
BUS22,z22,22,13,23,25,BUS13_to_BUS13,0.5,0.0015,500,12000,0.95,0,0.785398,345,104.5131058,1025.642349
BUS23,z23,23,14,16,25,BUS13_to_BUS14,0.5,0.0015,500,12000,0.95,0,0.785398,345,101.8121538,1020.802871
BUS24,z24,24,15,16,25,BUS13_to_BUS15,0.5,0.0015,500,12000,0.95,0,0.785398,345,99.11120192,1015.963393
BUS25,z25,25,15,21,25,BUS13_to_BUS16,0.5,0.0015,500,12000,0.95,0,0.785398,345,96.41025,1011.123915
BUS26,z26,26,15,21,25,BUS13_to_BUS17,0.5,0.0015,500,12000,0.95,0,0.785398,345,93.70929808,1006.284437
BUS27,z27,27,15,24,25,BUS13_to_BUS18,0.5,0.0015,500,12000,0.95,0,0.785398,345,91.00834615,1001.444959
