Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Demand_MW_z8,Demand_MW_z9,Demand_MW_z10,Demand_MW_z11,Demand_MW_z12,Demand_MW_z13,Demand_MW_z14,Demand_MW_z15,Demand_MW_z16,Demand_MW_z17,Demand_MW_z18,Demand_MW_z19,Demand_MW_z20,Demand_MW_z21,Demand_MW_z22,Demand_MW_z23,Demand_MW_z24,Demand_MW_z25,Demand_MW_z26,Demand_MW_z27,Demand_MW_z28,Demand_MW_z29,Demand_MW_z30,Demand_MW_z31,Demand_MW_z32,Demand_MW_z33,Demand_MW_z34,Demand_MW_z35,Demand_MW_z36,Demand_MW_z37,Demand_MW_z38,Demand_MW_z39,Demand_MW_z40,Demand_MW_z41,Demand_MW_z42,Demand_MW_z43,Demand_MW_z44,Demand_MW_z45,Demand_MW_z46,Demand_MW_z47,Demand_MW_z48,Demand_MW_z49,Demand_MW_z50,Demand_MW_z51,Demand_MW_z52,Demand_MW_z53,Demand_MW_z54,Demand_MW_z55,Demand_MW_z56,Demand_MW_z57,Demand_MW_z58,Demand_MW_z59,Demand_MW_z60,Demand_MW_z61,Demand_MW_z62,Demand_MW_z63,Demand_MW_z64,Demand_MW_z65,Demand_MW_z66,Demand_MW_z67,Demand_MW_z68,Demand_MW_z69,Demand_MW_z70,Demand_MW_z71,Demand_MW_z72,Demand_MW_z73
2000000,1,1,1,2000,1,8760,8760,1,37.3270658,33.525235,62.2117764,25.5759525,24.5390896,47.0044532,43.2026225,59.1011875,60.4836715,67.3960911,0,0,91.5895596,67.0504701,109.561851,34.562098,0,115.091786,62.5573973,44.2394854,0,0,0,0,41.7856131,37.529671,69.6426885,28.630883,27.4701716,52.6189202,48.3629781,66.1605541,67.7081694,75.4462459,0,0,102.529514,75.059342,122.648513,38.6903825,0,128.838974,70.0295923,49.5236896,0,0,0,0,37.327066,33.5252353,62.2117766,25.5759522,24.5390899,47.004453,43.2026223,59.1011875,60.4836717,67.3960914,0,0,91.5895595,67.0504696,109.56185,34.5620977,0,115.091786,62.5573974,44.2394857,0,0,0,0,0
,2,0.9,0.04,1800,,,,2,37.3537853,33.5492331,62.2563088,25.5942603,24.5566551,47.0381,43.2335478,59.1434933,60.5269669,67.4443345,0,0,91.6551212,67.0984661,109.640277,34.5868382,0,115.174171,62.6021771,44.2711529,0,0,0,0,41.03762,36.8578624,68.3960334,28.1183693,26.9784354,51.677003,47.4972454,64.9762317,66.4961436,74.0957028,0,0,100.69416,73.7157249,120.453014,37.9977963,0,126.532662,68.7760113,48.6371793,0,0,0,0,37.3537854,33.5492333,62.256309,25.59426,24.5566554,47.0380997,43.2335476,59.1434933,60.5269671,67.4443349,0,0,91.6551211,67.0984657,109.640277,34.5868379,0,115.174171,62.6021772,44.2711532,0,0,0,0,0
,3,0.55,0.024,1100,,,,3,37.9549728,34.0891885,63.258288,26.0061851,24.9518803,47.7951509,43.9293667,60.0953736,61.5011133,68.529812,0,0,93.1302573,68.1783771,111.404874,35.1434933,0,117.027833,63.6097229,44.9836715,0,0,0,0,40.9186211,36.7509838,68.1977019,28.036833,26.9002046,51.5271525,47.3595152,64.7878168,66.3033213,73.8808437,0,0,100.402172,73.5019676,120.103731,37.8876121,0,126.165748,68.576578,48.4961435,0,0,0,0,37.954973,34.0891888,63.2582883,26.0061848,24.9518806,47.7951507,43.9293665,60.0953736,61.5011136,68.5298124,0,0,93.1302572,68.1783766,111.404874,35.143493,0,117.027833,63.609723,44.9836718,0,0,0,0,0
,4,0.2,0.003,400,,,,4,39.2642256,35.2650915,65.440376,26.9032657,25.8125928,49.4438397,45.4447056,62.1683572,63.6225878,70.8937407,0,0,96.3427758,70.530183,115.247773,36.3557645,0,121.064696,65.8039337,46.5353785,0,0,0,0,40.8676216,36.7051786,68.1127026,28.0018889,26.8666772,51.4629309,47.3004879,64.7070675,66.2206831,73.7887612,0,0,100.277034,73.4103573,119.954037,37.8403904,0,126.0085,68.4911065,48.4356997,0,0,0,0,39.2642258,35.2650918,65.4403763,26.9032654,25.8125931,49.4438394,45.4447054,62.1683572,63.622588,70.8937411,0,0,96.3427757,70.5301826,115.247773,36.3557642,0,121.064695,65.8039337,46.5353788,0,0,0,0,0
,,,,,,,,5,43.1919842,38.7928006,71.9866403,29.5945077,28.3947303,54.389906,49.9907224,68.3873083,69.9870114,77.985527,0,0,105.980332,77.5856012,126.776472,39.9925779,0,133.175285,72.3865661,51.1904998,0,0,0,0,41.6496143,37.407524,69.4160239,28.5376987,27.380765,52.4476625,48.2055722,65.9452227,67.487801,75.2006926,0,0,102.195813,74.815048,122.249331,38.5644577,0,128.419644,69.8016685,49.3625059,0,0,0,0,43.1919843,38.7928009,71.9866406,29.5945074,28.3947307,54.3899057,49.9907223,68.3873083,69.9870116,77.9855274,0,0,105.980331,77.5856007,126.776472,39.9925776,0,133.175284,72.3865661,51.1905001,0,0,0,0,0
,,,,,,,,6,48.7629886,43.7963879,81.2716477,33.4116774,32.0571499,61.405245,56.4386443,77.2080653,79.014102,88.044285,0,0,119.649926,87.5927759,143.128402,45.1509154,0,150.352548,81.7231569,57.7931717,0,0,0,0,43.8085944,39.3466079,73.0143239,30.0169998,28.8000944,55.1663781,50.7043916,69.3636077,70.9861483,79.0988509,0,0,107.49331,78.6932158,128.586337,40.5635133,0,135.076499,73.4199591,51.921297,0,0,0,0,48.7629888,43.7963883,81.2716481,33.411677,32.0571503,61.4052446,56.4386441,77.2080653,79.0141023,88.0442855,0,0,119.649926,87.5927753,143.128402,45.150915,0,150.352548,81.723157,57.7931721,0,0,0,0,0
,,,,,,,,7,51.0475012,45.8482187,85.0791687,34.9769916,33.5590054,64.2820386,59.0827561,80.8252103,82.7158585,92.1690994,0,0,125.255443,91.6964374,149.833869,47.2662048,0,157.396462,85.5518308,60.5007422,0,0,0,0,46.7325673,41.9727688,77.8876122,32.0204628,30.7223359,58.8484181,54.0886196,73.9932316,75.7240674,84.3782465,0,0,114.667874,83.9455376,137.168739,43.2708957,0,144.092083,78.3203211,55.3867464,0,0,0,0,51.0475014,45.8482191,85.0791691,34.9769912,33.5590058,64.2820383,59.0827559,80.8252103,82.7158588,92.1690999,0,0,125.255443,91.6964368,149.833869,47.2662044,0,157.396462,85.5518309,60.5007426,0,0,0,0,0
,,,,,,,,8,49.4710539,44.4323355,82.4517565,33.8968332,32.5226373,62.2968827,57.2581643,78.3291687,80.16143,89.3227362,0,0,121.387308,88.8646709,145.206705,45.8065314,0,152.53575,82.9098218,58.6323602,0,0,0,0,46.2565717,41.5452542,77.0942862,31.6943177,30.4094129,58.2490162,53.5376987,73.2395719,74.9527782,83.51881,0,0,113.499921,83.0905084,135.771604,42.830159,0,142.624429,77.5225878,54.8226035,0,0,0,0,49.4710541,44.4323358,82.4517569,33.8968329,32.5226377,62.2968824,57.2581641,78.3291687,80.1614303,89.3227367,0,0,121.387308,88.8646704,145.206704,45.806531,0,152.535749,82.9098219,58.6323606,0,0,0,0,0
,,,,,,,,9,46.7055913,41.9485403,77.8426522,32.0019792,30.7046017,58.8144483,54.0573973,73.9505195,75.6803563,84.3295398,0,0,114.601682,83.8970807,137.08956,43.2459179,0,144.008907,78.2751113,55.3547749,0,0,0,0,45.6275775,40.9803243,76.0459626,31.2633402,29.9959075,57.4569495,52.8096962,72.2436644,73.9335747,82.3831261,0,0,111.956556,81.9606486,133.92539,42.247757,0,140.685031,76.4684401,54.0771289,0,0,0,0,46.7055915,41.9485407,77.8426525,32.0019789,30.7046021,58.814448,54.0573972,73.9505195,75.6803565,84.3295403,0,0,114.601682,83.8970801,137.089559,43.2459175,0,144.008906,78.2751114,55.3547752,0,0,0,0,0
,,,,,,,,10,44.8753093,40.3046759,74.7921821,30.7478971,29.5013607,56.5096487,51.9390154,71.052573,72.7146215,81.024864,0,0,110.110713,80.6093518,131.717343,41.5512123,0,138.365537,75.2076942,53.1855517,0,0,0,0,45.8315756,41.1635448,76.3859594,31.4031166,30.1300173,57.713836,53.0458051,72.5666614,74.2641272,82.751456,0,0,112.457107,82.3270896,134.524162,42.4366441,0,141.314025,76.8103258,54.3189045,0,0,0,0,44.8753095,40.3046762,74.7921824,30.7478968,29.5013611,56.5096484,51.9390152,71.052573,72.7146218,81.0248644,0,0,110.110712,80.6093513,131.717343,41.5512119,0,138.365537,75.2076943,53.1855521,0,0,0,0,0
,,,,,,,,11,43.6996536,39.248763,72.832756,29.9423553,28.728476,55.0291935,50.5783028,69.1911182,70.8096239,78.9021524,0,0,107.226002,78.497526,128.266576,40.4626423,0,134.740599,73.2373825,51.7921821,0,0,0,0,44.7605856,40.201637,74.6009759,30.6692901,29.4259405,56.3651818,51.8062333,70.8709271,72.5287266,80.8177239,0,0,109.829215,80.4032741,131.380608,41.4449866,0,138.011806,75.0154258,53.0495829,0,0,0,0,43.6996538,39.2487633,72.8327564,29.9423549,28.7284763,55.0291932,50.5783027,69.1911182,70.8096242,78.9021528,0,0,107.226002,78.4975255,128.266576,40.4626419,0,134.740598,73.2373826,51.7921824,0,0,0,0,0
,,,,,,,,12,42.7911925,38.4328303,71.3186542,29.3198912,28.1312469,53.8852054,49.5268432,67.7527214,69.3375804,77.2618753,0,0,104.996908,76.8656606,125.600074,39.6214745,0,131.93951,71.7148689,50.7154874,0,0,0,0,44.4885881,39.957343,74.1476468,30.4829214,29.2471273,56.0226664,51.4914214,70.4402644,72.0879899,80.3266173,0,0,109.161813,79.914686,130.582245,41.1931371,0,137.173147,74.5595781,52.7272155,0,0,0,0,42.7911927,38.4328306,71.3186544,29.3198908,28.1312473,53.8852051,49.526843,67.7527214,69.3375807,77.2618757,0,0,104.996907,76.8656601,125.600074,39.6214742,0,131.93951,71.714869,50.7154877,0,0,0,0,0
