,Network_zones,Network_Lines,Start_Zone,End_Zone,Line_Max_Flow_MW,transmission_path_name,distance_mile,Line_Loss_Percentage,Line_Max_Reinforcement_MW,Line_Reinforcement_Cost_per_MWyr,DerateCapRes_1,CapRes_Excl_1,Angle_Limit_Rad,Line_Voltage_kV,Line_Resistance_Ohms,Line_Reactance_Ohms
BUS1,z1,1,1,2,175,BUS1_to_BUS4,3,0.015,500,12000,0.95,0,0.785398,345,0.003,0.014
BUS2,z2,2,1,3,175,BUS4_to_BUS5,55,0.015,500,12000,0.95,0,0.785398,345,0.055,0.211
BUS3,z3,3,1,5,175,BUS5_to_BUS6,22,0.015,500,12000,0.95,0,0.785398,345,0.022,0.085
BUS4,z4,4,2,4,175,BUS3_to_BUS6,33,0.015,500,12000,0.95,0,0.785398,345,0.033,0.127
BUS5,z5,5,2,6,175,BUS6_to_BUS7,50,0.015,500,12000,0.95,0,0.785398,345,0.05,0.192
BUS6,z6,6,3,9,175,BUS7_to_BUS8,31,0.015,500,12000,0.95,0,0.785398,345,0.031,0.119
BUS7,z7,7,3,24,400,BUS8_to_BUS2,0,0.015,500,12000,0.95,0,0.785398,345,0.002,0.084
BUS8,z8,8,4,9,175,BUS8_to_BUS9,27,0.015,500,12000,0.95,0,0.785398,345,0.027,0.104
BUS9,z9,9,5,10,175,BUS9_to_BUS4,23,0.015,500,12000,0.95,0,0.785398,345,0.023,0.088
BUS10,z10,10,6,10,175,BUS1_to_BUS6,16,0.015,500,12000,0.95,0,0.785398,345,0.014,0.061
BUS11,z11,11,7,8,175,BUS1_to_BUS7,16,0.015,500,12000,0.95,0,0.785398,345,0.016,0.061
BUS12,z12,12,8,9,175,BUS1_to_BUS8,43,0.015,500,12000,0.95,0,0.785398,345,0.043,0.165
BUS13,z13,13,8,10,175,BUS1_to_BUS9,43,0.015,500,12000,0.95,0,0.785398,345,0.043,0.165
BUS14,z14,14,9,11,400,BUS1_to_BUS10,0,0.015,500,12000,0.95,0,0.785398,345,0.002,0.084
BUS15,z15,15,9,12,400,BUS1_to_BUS11,0,0.015,500,12000,0.95,0,0.785398,345,0.002,0.084
BUS16,z16,16,10,11,400,BUS1_to_BUS12,0,0.015,500,12000,0.95,0,0.785398,345,0.002,0.084
