Resource,Zone,Model,New_Build,Can_Retire,Existing_Cap_MW,Max_Cap_MW,Min_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,Heat_Rate_MMBTU_per_MWh,Fuel,Cap_Size,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Up_Time,Down_Time,Ramp_Up_Percentage,Ramp_Dn_Percentage,Min_Power,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,PWFU_Fuel_Usage_Zero_Load_MMBTU_per_h,PWFU_Heat_Rate_MMBTU_per_MWh_1,PWFU_Heat_Rate_MMBTU_per_MWh_2,PWFU_Heat_Rate_MMBTU_per_MWh_3,PWFU_Load_Point_MW_1,PWFU_Load_Point_MW_2,PWFU_Load_Point_MW_3,region,cluster,,,,,,,,,,,,,,,,,,,,,,,
101_CT_1,101,1,1,0,20,-1,0,65400,25,6.94,13114,Oil,250,91,5,1,1,9,9,8,0.25,0.5,0,0,400,9456,9476,10352,0.6,0.8,1,UT,1,,,,,,,,,,,,,,,,,,,,,,,
101_CT_2,101,1,1,0,20,-1,0,65400,25,6.94,13114,Oil,250,91,5,1,1,9,9,8,0.13333272,0.26666544,0,0,400,9456,9476,10352,0.6,0.8,1,UT,1,,,,,,,,,,,,,,,,,,,,,,,
101_STEAM_3,101,1,1,0,76,-1,0,65400,123.3,14.2,13270,Coal,250,91,4861.4,8,4,1.578947368,1.578947368,30,0.03333333,0.06666667,0,0,400,6713,8028,8549,0.596491228,0.798245614,1,UT,1,,,,,,,,,,,,,,,,,,,,,,,
101_STEAM_4,101,1,1,0,76,-1,0,65400,123.3,14.2,13270,Coal,250,91,4861.4,8,4,1.578947368,1.578947368,30,0.03333333,0.06666667,0,0,400,6713,8028,8549,0.596491228,0.798245614,1,UT,1,,,,,,,,,,,,,,,,,,,,,,,
102_CT_1,102,1,1,0,20,-1,0,65400,25,6.94,14639,Oil,250,91,5,1,1,9,9,8,0.03333333,0.06666667,0,0,400,8597,9147,9622,0.6,0.8,1,UT,1,,,,,,,,,,,,,,,,,,,,,,,
102_CT_2,102,1,1,0,20,-1,0,65400,25,6.94,14639,Oil,250,91,5,1,1,9,9,8,0.03333333,0.06666667,0,0,400,8597,9147,9622,0.6,0.8,1,UT,1,,,,,,,,,,,,,,,,,,,,,,,
102_STEAM_3,102,1,1,0,76,-1,0,65400,123.3,14.2,11591,Coal,250,91,4861.4,8,4,1.578947368,1.578947368,30,0.03333333,0.06666667,0,0,400,8734,9861,10651,0.596491228,0.798245614,1,UT,1,,,,,,,,,,,,,,,,,,,,,,,
102_STEAM_4,102,1,1,0,76,-1,0,65400,123.3,14.2,11591,Coal,250,91,4861.4,8,4,1.578947368,1.578947368,30,0.03333333,0.06666667,0,0,400,8734,9861,10651,0.596491228,0.798245614,1,UT,1,,,,,,,,,,,,,,,,,,,,,,,
107_CC_1,107,1,1,0,355,-1,0,65400,38,2.08,7222,NG,250,91,4536.1,8,4.5,0.69971831,0.69971831,170,0.03333333,0.06666667,0,0,400,5970,6892,7854,0.65258216,0.82629108,1,UT,1,,,,,,,,,,,,,,,,,,,,,,,
113_CT_1,113,1,1,0,55,-1,0,65400,38,2.08,13125,NG,250,91,1122.5,2.2,2.2,4.036363636,4.036363636,22,0.03333333,0.06666667,0,0,400,6899,7602,7797,0.6,0.8,1,UT,1,,,,,,,,,,,,,,,,,,,,,,,
113_CT_2,113,1,1,0,55,-1,0,65400,38,2.08,13125,NG,250,91,1122.5,2.2,2.2,4.036363636,4.036363636,22,0.03333333,0.06666667,0,0,400,6899,7602,7797,0.6,0.8,1,UT,1,,,,,,,,,,,,,,,,,,,,,,,
113_CT_3,113,1,1,0,55,-1,0,65400,38,2.08,13125,NG,250,91,1122.5,2.2,2.2,4.036363636,4.036363636,22,0.03333333,0.06666667,0,0,400,6899,7602,7797,0.6,0.8,1,UT,1,,,,,,,,,,,,,,,,,,,,,,,
113_CT_4,113,1,1,0,55,-1,0,65400,38,2.08,13125,NG,250,91,1122.5,2.2,2.2,4.036363636,4.036363636,22,0.03333333,0.06666667,0,0,400,6899,7602,7797,0.6,0.8,1,UT,1,,,,,,,,,,,,,,,,,,,,,,,
115_STEAM_1,115,1,1,0,12,-1,0,65400,25,6.94,17340,Oil,250,91,44,4,2,5,5,5,0.03333333,0.06666667,0,0,400,12030,12083,12913,0.611111111,0.805555556,1,UT,1,,,,,,,,,,,,,,,,,,,,,,,
115_STEAM_2,115,1,1,0,12,-1,0,65400,25,6.94,17340,Oil,250,91,44,4,2,5,5,5,0.03333333,0.06666667,0,0,400,12030,12083,12913,0.611111111,0.805555556,1,UT,1,,,,,,,,,,,,,,,,,,,,,,,
115_STEAM_3,115,1,1,0,155,-1,0,65400,123.3,14.2,11446,Coal,250,91,7437.5,8,8,1.161290323,1.161290323,62,0.03333333,0.06666667,0,0,400,9650,10640,12796,0.6,0.8,1,UT,1,,,,,,,,,,,,,,,,,,,,,,,
116_STEAM_1,116,1,1,0,155,-1,0,65400,123.3,14.2,13238,Coal,250,91,7437.5,8,8,1.161290323,1.161290323,62,0.03333333,0.06666667,0,0,400,9312,10158,11294,0.6,0.8,1,UT,1,,,,,,,,,,,,,,,,,,,,,,,
118_CC_1,118,1,1,0,355,-1,0,65400,38,2.08,7257,NG,250,91,4536.1,8,4.5,0.69971831,0.69971831,170,0.03333333,0.06666667,0,0,400,5808,7140,8351,0.65258216,0.82629108,1,UT,1,,,,,,,,,,,,,,,,,,,,,,,
123_STEAM_2,123,1,1,0,155,-1,0,65400,123.3,14.2,10967,Coal,250,91,7437.5,8,8,1.161290323,1.161290323,62,0.03333333,0.06666667,0,0,400,9191,10865,15627,0.6,0.8,1,UT,1,,,,,,,,,,,,,,,,,,,,,,,
123_STEAM_3,123,1,1,0,350,-1,0,65400,123.3,14.2,12106,Coal,250,91,10114.4,24,48,0.685714286,0.685714286,140,0.03333333,0.06666667,0,0,400,9453,10240,11087,0.6,0.8,1,UT,1,,,,,,,,,,,,,,,,,,,,,,,
123_CT_1,123,1,1,0,55,-1,0,65400,38,2.08,12725,NG,250,91,1122.5,2.2,2.2,4.036363636,4.036363636,22,0.03333333,0.06666667,0,0,400,6757,7667,7998,0.6,0.8,1,UT,1,,,,,,,,,,,,,,,,,,,,,,,
123_CT_4,123,1,1,0,55,-1,0,65400,38,2.08,12725,NG,250,91,1122.5,2.2,2.2,4.036363636,4.036363636,22,0.03333333,0.06666667,0,0,400,6757,7667,7998,0.6,0.8,1,UT,1,,,,,,,,,,,,,,,,,,,,,,,
123_CT_5,123,1,1,0,55,-1,0,65400,38,2.08,12725,NG,250,91,1122.5,2.2,2.2,4.036363636,4.036363636,22,0.03333333,0.06666667,0,0,400,6757,7667,7998,0.6,0.8,1,UT,1,,,,,,,,,,,,,,,,,,,,,,,
121_NUCLEAR_1,121,1,1,0,400,-1,0,65400,126,1.9,10000,Nuclear,250,91,0,24,48,3,3,396,0.03333333,0.06666667,0,0,400,0,0,0,0.993333333,0.996666667,1,UT,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
