Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Demand_MW_z8,Demand_MW_z9,Demand_MW_z10,Demand_MW_z11,Demand_MW_z12,Demand_MW_z13,Demand_MW_z14,Demand_MW_z15,Demand_MW_z16,Demand_MW_z17,Demand_MW_z18,Demand_MW_z19,Demand_MW_z20,Demand_MW_z21,Demand_MW_z22,Demand_MW_z23,Demand_MW_z24
2000000,1,1,1,2000,1,8760,8760,1,41.78561309,37.52967102,69.64268848,28.63088304,27.47017157,52.61892019,48.36297811,66.16055406,67.70816936,75.44624586,0,0,102.5295136,75.05934203,122.6485125,38.69038249,0,128.8389737,70.02959231,49.52368959,0,0,0,0
,2,0.9,0.04,1800,,,,2,41.03762002,36.85786243,68.39603337,28.11836927,26.97843538,51.67700299,47.49724539,64.9762317,66.49614355,74.09570282,0,0,100.6941602,73.71572485,120.4530143,37.99779632,0,126.5326617,68.77601133,48.63717928,0,0,0,0
,3,0.55,0.024,1100,,,,3,40.91862111,36.75098378,68.19770185,28.03683298,26.90020462,51.52715251,47.35951518,64.78781676,66.30332125,73.88084367,0,0,100.4021722,73.50196755,120.1037305,37.88761214,0,126.1657484,68.57657797,48.49614354,0,0,0,0
,4,0.2,0.003,400,,,,4,40.86762158,36.70517864,68.11270263,28.00188886,26.86667715,51.46293088,47.30048794,64.7070675,66.22068311,73.78876118,0,0,100.2770344,73.41035728,119.9540374,37.84039035,0,126.0084999,68.49110654,48.43569965,0,0,0,0
,,,,,,,,5,41.64961434,37.40752399,69.41602389,28.53769871,27.38076498,52.4476625,48.20557215,65.9452227,67.48780101,75.20069255,0,0,102.195813,74.81504798,122.249331,38.56445772,0,128.4196442,69.80166847,49.36250588,0,0,0,0
,,,,,,,,6,43.80859436,39.3466079,73.01432394,30.01699984,28.80009444,55.16637809,50.70439162,69.36360774,70.98614827,79.09885093,0,0,107.4933102,78.6932158,128.5863372,40.5635133,0,135.0764993,73.41995907,51.92129702,0,0,0,0
,,,,,,,,7,46.7325673,41.97276878,77.88761217,32.02046278,30.72233591,58.84841808,54.08861956,73.99323156,75.72406739,84.37824652,0,0,114.6678735,83.94553756,137.1687392,43.27089565,0,144.0920825,78.32032112,55.38674643,0,0,0,0
,,,,,,,,8,46.2565717,41.54525421,77.09428617,31.69431765,30.40941288,58.24901622,53.53769873,73.23957186,74.95277822,83.51881002,0,0,113.4999213,83.09050843,135.771604,42.83015898,0,142.6244294,77.52258776,54.8226035,0,0,0,0
,,,,,,,,9,45.62757754,40.98032427,76.04596257,31.26334017,29.99590746,57.4569495,52.80969623,72.24366444,73.93357472,82.38312612,0,0,111.956556,81.96064855,133.9253896,42.24775698,0,140.6850308,76.46844014,54.07712894,0,0,0,0
,,,,,,,,10,45.83157563,41.16354478,76.38595939,31.40311664,30.13001731,57.71383598,53.04580513,72.56666142,74.26412718,82.75145601,0,0,112.4571069,82.32708956,134.5241618,42.43664411,0,141.3140249,76.81032583,54.31890445,0,0,0,0
,,,,,,,,11,44.76058556,40.20163703,74.60097594,30.66929011,29.42594051,56.36518182,51.80623329,70.87092714,72.52872661,80.81772393,0,0,109.8292146,80.40327407,131.3806076,41.44498663,0,138.0118055,75.0154258,53.04958289,0,0,0,0
,,,,,,,,12,44.48858805,39.95734298,74.14764676,30.48292144,29.24712733,56.02266644,51.49142136,70.44026442,72.0879899,80.32661732,0,0,109.1618133,79.91468595,130.5822446,41.19313709,0,137.1731465,74.55957813,52.72721547,0,0,0,0
,,,,,,,,13,44.52258774,39.98787973,74.20431291,30.50621753,29.26947898,56.06548086,51.53077285,70.49409726,72.14308199,80.38800565,0,0,109.2452384,79.97575946,130.6820399,41.22461828,0,137.2779789,74.61655909,52.7675114,0,0,0,0
,,,,,,,,14,44.02959234,39.54509682,73.38265389,30.16842438,28.94538015,55.44467183,50.96017632,69.7135212,71.34424684,79.49787505,0,0,108.0355738,79.09019364,129.2350071,40.76814105,0,135.7579097,73.79033531,52.18322055,0,0,0,0
,,,,,,,,15,43.85959389,39.39241304,73.09932316,30.05194396,28.83362191,55.23059972,50.76341886,69.444357,71.0687864,79.19093342,0,0,107.618448,78.78482607,128.7360302,40.61073509,0,135.2337478,73.50543051,51.98174091,0,0,0,0
,,,,,,,,16,44.02959234,39.54509682,73.38265389,30.16842438,28.94538015,55.44467183,50.96017632,69.7135212,71.34424684,79.49787505,0,0,108.0355738,79.09019364,129.2350071,40.76814105,0,135.7579097,73.79033531,52.18322055,0,0,0,0
,,,,,,,,17,45.23658112,40.62915157,75.39430187,30.99543521,29.73886352,56.96458364,52.35715408,71.62458678,73.30001571,81.67716036,0,0,110.9971666,81.25830313,132.7777427,41.88572326,0,139.4794585,75.81315911,53.61372578,0,0,0,0
