Resource,Zone,Num_VRE_Bins,New_Build,Can_Retire,Existing_Cap_MW,Max_Cap_MW,Min_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,region,cluster
313_PV_1,313,1,1,0,95.1,-1,0,85300,145757.64,0,0,0,0,0,CA,3
313_PV_2,313,1,1,0,93.3,-1,0,97200,145757.64,0,0,0,0,0,CA,3
313_RTPV_1,313,1,1,0,101.7,-1,0,85300,145757.64,0,0,0,0,0,CA,3
313_RTPV_2,313,1,1,0,63.1,-1,0,97200,145757.64,0,0,0,0,0,CA,3
313_RTPV_3,313,1,1,0,65.4,-1,0,97200,145757.64,0,0,0,0,0,CA,3
313_RTPV_4,313,1,1,0,67,-1,0,99580,145757.64,0,0,0,0,0,CA,3
313_RTPV_5,313,1,1,0,64.8,-1,0,101960,145757.64,0,0,0,0,0,CA,3
313_RTPV_6,313,1,1,0,63.8,-1,0,104340,145757.64,0,0,0,0,0,CA,3
313_RTPV_7,313,1,1,0,64.1,-1,0,106720,145757.64,0,0,0,0,0,CA,3
313_RTPV_8,313,1,1,0,66.6,-1,0,109100,145757.64,0,0,0,0,0,CA,3
313_RTPV_9,313,1,1,0,62.4,-1,0,111480,145757.64,0,0,0,0,0,CA,3
313_RTPV_10,313,1,1,0,66.9,-1,0,113860,145757.64,0,0,0,0,0,CA,3
313_RTPV_11,313,1,1,0,65.2,-1,0,116240,145757.64,0,0,0,0,0,CA,3
313_RTPV_12,313,1,1,0,27.8,-1,0,118620,145757.64,0,0,0,0,0,CA,3
313_RTPV_13,313,1,1,0,27.2,-1,0,121000,145757.64,0,0,0,0,0,CA,3
320_PV_1,320,1,1,0,51.6,-1,0,123380,145757.64,0,0,0,0,0,CA,3
320_RTPV_1,320,1,1,0,27.3,-1,0,125760,145757.64,0,0,0,0,0,CA,3
320_RTPV_2,320,1,1,0,27,-1,0,128140,145757.64,0,0,0,0,0,CA,3
320_RTPV_3,320,1,1,0,28.3,-1,0,130520,145757.64,0,0,0,0,0,CA,3
320_RTPV_4,320,1,1,0,27,-1,0,132900,145757.64,0,0,0,0,0,CA,3
320_RTPV_5,320,1,1,0,28.2,-1,0,135280,145757.64,0,0,0,0,0,CA,3
320_RTPV_6,320,1,1,0,9.4,-1,0,135280,145757.64,0,0,0,0,0,CA,3
314_PV_1,314,1,1,0,51.6,-1,0,135280,145757.64,0,0,0,0,0,CA,3
314_PV_2,314,1,1,0,51.6,-1,0,135280,145757.64,0,0,0,0,0,CA,3
314_PV_3,314,1,1,0,92.7,-1,0,135280,145757.64,0,0,0,0,0,CA,3
314_PV_4,314,1,1,0,51.6,-1,0,135280,145757.64,0,0,0,0,0,CA,3
310_PV_1,310,1,1,0,51.7,-1,0,135280,145757.64,0,0,0,0,0,CA,3
310_PV_2,310,1,1,0,51.6,-1,0,135280,145757.64,0,0,0,0,0,CA,3
324_PV_1,324,1,1,0,49.7,-1,0,135280,145757.64,0,0,0,0,0,CA,3
324_PV_2,324,1,1,0,51.6,-1,0,135280,145757.64,0,0,0,0,0,CA,3
324_PV_3,324,1,1,0,51,-1,0,135280,145757.64,0,0,0,0,0,CA,3
312_PV_1,312,1,1,0,94.1,-1,0,135280,145757.64,0,0,0,0,0,CA,3
319_PV_1,319,1,1,0,188.2,-1,0,135280,145757.64,0,0,0,0,0,CA,3
308_RTPV_1,308,1,1,0,100.9,-1,0,135280,145757.64,0,0,0,0,0,CA,3
309_WIND_1,309,1,1,0,148.3,-1,0,135280,230510.64,0,0,0,0,0,CA,3
317_WIND_1,317,1,1,0,799.1,-1,0,135280,230510.64,0,0,0,0,0,CA,3
303_WIND_1,303,1,1,0,847,-1,0,135280,230510.64,0,0,0,0,0,CA,3
