Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Demand_MW_z8,Demand_MW_z9,Demand_MW_z10,Demand_MW_z11,Demand_MW_z12,Demand_MW_z13,Demand_MW_z14,Demand_MW_z15,Demand_MW_z16,Demand_MW_z17,Demand_MW_z18,Demand_MW_z19,Demand_MW_z20,Demand_MW_z21,Demand_MW_z22,Demand_MW_z23,Demand_MW_z24,Demand_MW_z25,
2000000,1,1,1,2000,1,8760,8760,1,37.32706597,33.52523531,62.21177661,25.57595222,24.53908985,47.004453,43.20262234,59.10118753,60.48367168,67.39609141,0,0,91.58955949,67.05046963,109.5618504,34.56209768,0,115.091786,62.5573974,44.2394857,0,0,0,0,0,
,2,0.9,0.04,1800,,,,2,37.35378541,33.54923333,62.25630902,25.59425999,24.55665542,47.03809971,43.23354763,59.14349332,60.52696707,67.44433485,0,0,91.65512109,67.09846568,109.6402769,34.58683791,0,115.1741709,62.60217721,44.27115319,0,0,0,0,0,
,3,0.55,0.024,1100,,,,3,37.95497296,34.08918881,63.25828826,26.00618479,24.95188057,47.79515069,43.92936654,60.0953736,61.50111356,68.52981237,0,0,93.13025719,68.17837663,111.4048737,35.14349303,0,117.0278325,63.609723,44.98367177,0,0,0,0,0,
,4,0.2,0.003,400,,,,4,39.26422578,35.26509181,65.44037629,26.90326541,25.81259307,49.44383941,45.44470544,62.16835722,63.62258803,70.89374107,0,0,96.34277566,70.53018259,115.2477731,36.35576415,0,121.0646954,65.80393374,46.53537881,0,0,0,0,0,
,,,,,,,,5,43.19198434,38.79280091,71.98664057,29.59450735,28.39473067,54.3899057,49.99072227,68.38730826,69.98701164,77.98552738,0,0,105.9803314,77.58560068,126.7764718,39.99257759,0,133.1752842,72.38656613,51.19050009,0,0,0,0,0,
,,,,,,,,6,48.76298884,43.7963883,81.27164806,33.41167704,32.05715032,61.40524463,56.4386441,77.20806534,79.01410225,88.04428551,0,0,119.6499256,87.59277532,143.1284016,45.15091502,0,150.352548,81.72315697,57.7931721,0,0,0,0,0,
,,,,,,,,7,51.04750144,45.84821907,85.07916907,34.97699121,33.55900584,64.28203825,59.08275589,80.82521028,82.71585878,92.16909994,0,0,125.2554426,91.6964368,149.8338691,47.26620444,0,157.3964618,85.55183086,60.5007426,0,0,0,0,0,
,,,,,,,,8,49.47105412,44.43233583,82.45175687,33.89683287,32.52263769,62.29688239,57.25816409,78.3291687,80.16143025,89.32273672,0,0,121.387308,88.86467035,145.2067043,45.80653101,0,152.5357492,82.90982193,58.63236059,0,0,0,0,0,
,,,,,,,,9,46.70559148,41.94854067,77.84265247,32.00197887,30.70460205,58.81444799,54.05739717,73.95051954,75.68035654,84.32954028,0,0,114.6016822,83.89708011,137.0895594,43.24591749,0,144.0089061,78.27511141,55.35477523,0,0,0,0,0,
,,,,,,,,10,44.87530945,40.30467624,74.79218242,30.74789676,29.50136107,56.50964841,51.93901521,71.052573,72.71462176,81.02486438,0,0,110.1107124,80.60935131,131.7173427,41.55121193,0,138.3655366,75.20769431,53.18555207,0,0,0,0,0,
