UB,LB,TIME
3.449547085070136e9,4.627372825758078e6,9.496999979019165
1.959196271996843e9,7.946152605520888e7,15.197999954223633
1.346542522632005e9,7.97850557834446e7,21.117000102996826
1.0495303565980994e9,8.028201972137396e7,30.236000061035156
5.760559464101086e8,8.081006763333143e7,34.7720000743866
5.760559464101086e8,8.08383146328388e7,43.575000047683716
5.760559464101086e8,8.100049540401201e7,52.23900008201599
5.760559464101086e8,8.126787232634945e7,61.58800005912781
5.760559464101086e8,8.156895077794397e7,67.05599999427795
5.760559464101086e8,8.170460227603461e7,75.69000005722046
3.6042100332921124e8,8.191388631131272e7,85.36300015449524
3.6042100332921124e8,8.196935444799894e7,95.11300015449524
1.9987991500540507e8,8.199269313941225e7,106.15300011634827
1.9987991500540507e8,8.202191112230408e7,112.04700016975403
1.9987991500540507e8,8.210423524347898e7,122.68600010871887
1.9987991500540507e8,8.219403315549587e7,132.73300004005432
1.733594650491957e8,8.87711223404504e7,142.875
1.2425512875284487e8,8.891525430305104e7,150.11300015449524
1.2425512875284487e8,8.89723819920022e7,159.00699996948242
1.2425512875284487e8,8.897459080296502e7,168.768000125885
1.2425512875284487e8,8.901392458218138e7,178.18700003623962
1.2425512875284487e8,8.908886834721118e7,187.16799998283386
1.2425512875284487e8,8.918575222724243e7,192.60400009155273
1.2425512875284487e8,8.919037417896824e7,202.10599994659424
1.2425512875284487e8,8.92315462489837e7,212.32000017166138
1.2425512875284487e8,8.923276837969427e7,221.72900009155273
1.2425512875284487e8,8.929588855238427e7,227.6930000782013
1.2425512875284487e8,8.931354704635943e7,238.32500004768372
1.2425512875284487e8,8.936341007904936e7,249.03400015830994
1.2425512875284487e8,8.943523328626049e7,259.864000082016
1.2425512875284487e8,8.950408673095298e7,266.08200001716614
1.2425512875284487e8,8.958397886778644e7,276.05400013923645
1.2425512875284487e8,8.960925824039818e7,285.34800004959106
1.2425512875284487e8,8.961251277959557e7,295.6319999694824
1.2425512875284487e8,8.964516346771294e7,302.2940001487732
1.2425512875284487e8,8.969552154706918e7,311.86100006103516
1.2425512875284487e8,8.975022456126665e7,321.7740001678467
1.2425512875284487e8,8.982761646218088e7,331.65300011634827
1.2342792406089965e8,8.984141512432861e7,338.0510001182556
1.2342792406089965e8,8.985349130391492e7,348.7220001220703
1.1897005058867428e8,9.408725104810806e7,360.29900002479553
1.1897005058867428e8,9.423122613606991e7,370.9839999675751
1.1359697395546816e8,9.444631436084406e7,377.6760001182556
1.1359697395546816e8,9.446544379948485e7,387.94400000572205
1.0603763247082758e8,9.450931351235227e7,397.70099997520447
1.0603763247082758e8,9.468705111403418e7,407.875
1.0603763247082758e8,9.477321842933582e7,414.16799998283386
1.0603763247082758e8,9.47771935312577e7,424.15199995040894
1.0603763247082758e8,9.481566892315793e7,433.94600009918213
1.0603763247082758e8,9.482139383297639e7,444.2409999370575
1.0603763247082758e8,9.484368902266234e7,450.3220000267029
1.0603763247082758e8,9.487817688788673e7,460.62600016593933
1.0603763247082758e8,9.503929751519358e7,471.00600004196167
1.0603763247082758e8,9.506893734054838e7,481.93099999427795
1.0603763247082758e8,9.509424351815373e7,487.25300002098083
1.0603763247082758e8,9.511148451554863e7,495.3619999885559
1.0603763247082758e8,9.51563505018116e7,501.77699995040894
1.0588292778847684e8,9.669848690008765e7,508.2079999446869
1.0588292778847684e8,9.736695244935735e7,512.545000076294
1.0508805623156701e8,9.7537214022444e7,518.6100001335144
1.0269132995037216e8,9.765638185929455e7,525.3310000896454
1.0269132995037216e8,9.770370457078981e7,532.029000043869
1.0269132995037216e8,9.775497979446043e7,536.920000076294
1.0269132995037216e8,9.783487106402405e7,544.0759999752045
1.0269132995037216e8,9.786329324808326e7,551.0240001678467
1.0269132995037216e8,9.79032386918825e7,558.5610001087189
1.0269132995037216e8,9.791866075559545e7,563.8710000514984
1.0269132995037216e8,9.797731368014407e7,573.9460000991821
1.0269132995037216e8,9.802145352665693e7,581.2510001659393
1.0269132995037216e8,9.803494386922559e7,587.9869999885559
1.0269132995037216e8,9.807272866398041e7,595.4839999675751
1.0269132995037216e8,9.815262001989114e7,601.462000131607
1.0269132995037216e8,9.819488596469486e7,608.2590000629425
1.0163101134631653e8,9.839719130326873e7,614.6800000667572
1.0163101134631653e8,9.898191549769914e7,621.0390000343323
1.0149078685261415e8,1.0005631795139284e8,626.0329999923706
1.0149078685261415e8,1.0030612463372101e8,632.3519999980927
1.0149078685261415e8,1.00374392671757e8,639.0260000228882
1.0149078685261415e8,1.0094627961483873e8,645.2469999790192
1.0149078685261415e8,1.01083045638059e8,651.8600001335144
1.0149078685261415e8,1.011178311092201e8,656.9119999408722
1.0149078685261415e8,1.011350119930322e8,663.2450001239777
1.0149078685261415e8,1.0116287729803306e8,669.8410000801086
1.0149078685261415e8,1.0116287737273595e8,676.7170000076294
1.0149078685261415e8,1.011682314726704e8,683.3860001564026
1.0126654339390025e8,1.0116823150977722e8,687.5729999542236
