Generators,NAME,NODE,NODE_NUMBER,NEW_CAP
1,322_CT_6,Cole,3,0.0
2,STEAM30,Chase,23,0.0
3,321_CC_1,Cobb,2,0.0
4,202_STEAM_3,Bacon,1,0.0
5,CT36,Carew,21,0.0
6,315_STEAM_1,Chase,23,0.0
7,223_CT_4,Bloch,34,0.0
8,123_STEAM_2,Austen,56,0.0
9,213_CT_1,Barlow,39,0.0
10,223_CT_6,Bloch,34,0.0
11,313_CC_1,Cecil,54,0.0
12,CT26,Bajer,8,0.0
13,202_CT_2,Bacon,1,0.0
14,101_STEAM_3,Abel,58,0.0
15,302_CT_1,Cabot,64,0.0
16,123_CT_1,Austen,56,0.0
17,STEAM29,Bajer,8,0.0
18,CT35,Baker,68,0.0
19,113_CT_3,Arne,71,0.0
20,302_CT_3,Cabot,64,0.0
21,NUCLEAR42,Carew,21,0.0
22,215_CT_4,Barton,17,0.0
23,102_STEAM_3,Adams,4,0.0
24,301_CT_4,Cabell,11,0.0
25,202_CT_1,Bacon,1,0.0
26,113_CT_2,Arne,71,0.0
27,221_CC_1,Behring,62,0.0
28,223_CT_5,Bloch,34,0.0
29,315_CT_7,Chase,23,0.0
30,CC33,Carew,21,0.0
31,215_CT_5,Barton,17,0.0
32,323_CC_1,Comte,18,0.0
33,101_STEAM_4,Abel,58,0.0
34,113_CT_1,Arne,71,0.0
35,223_STEAM_3,Bloch,34,0.0
36,318_CC_1,Clark,50,0.0
37,307_CT_2,Carew,21,0.0
38,213_CT_2,Barlow,39,0.0
39,NUCLEAR41,Baker,68,0.0
40,113_CT_4,Arne,71,0.0
41,315_STEAM_3,Chase,23,0.0
42,118_CC_1,Astor,36,0.0
43,315_CT_8,Chase,23,0.0
44,302_CT_2,Cabot,64,0.0
45,218_CC_1,Bayle,65,0.0
46,STEAM38,Baker,68,0.0
47,CT27,Carrel,25,0.0
48,213_CC_3,Barlow,39,0.0
49,115_STEAM_3,Arthur,53,0.0
50,323_CC_2,Comte,18,0.0
51,101_CT_1,Abel,58,0.0
52,115_STEAM_2,Arthur,53,0.0
53,STEAM37,Alber,49,0.0
54,101_CT_2,Abel,58,0.0
55,322_CT_5,Cole,3,0.0
56,CC32,Bach,19,0.0
57,315_STEAM_5,Chase,23,0.0
58,207_CT_2,Baker,68,0.0
59,123_STEAM_3,Austen,56,0.0
60,223_STEAM_1,Bloch,34,0.0
61,123_CT_5,Austen,56,0.0
62,STEAM39,Carew,21,0.0
63,301_CT_1,Cabell,11,0.0
64,223_STEAM_2,Bloch,34,0.0
65,202_STEAM_4,Bacon,1,0.0
66,116_STEAM_1,Asser,29,0.0
67,315_STEAM_4,Chase,23,0.0
68,115_STEAM_1,Arthur,53,0.0
69,315_STEAM_2,Chase,23,0.0
70,121_NUCLEAR_1,Attlee,7,0.0
71,102_CT_2,Adams,4,0.0
72,NUCLEAR40,Alger,33,0.0
73,123_CT_4,Austen,56,0.0
74,STEAM28,Alger,33,0.0
